SIDO,SIGUNGU,SEX_GB,AGE_GB,POPU_NUM,popu_per
경기도,성남시 수정구,남,60,14886,0.125
경기도,성남시 수정구,남,70,7387,0.062
경기도,성남시 수정구,남,80,2316,0.02
경기도,성남시 수정구,남,전체,118631,1
경기도,성남시 수정구,여,0,7940,0.068
경기도,성남시 수정구,여,10,8640,0.074
경기도,성남시 수정구,여,20,16097,0.139
경기도,성남시 수정구,여,30,16479,0.142
경기도,성남시 수정구,여,40,17514,0.151
경기도,성남시 수정구,여,50,19954,0.172
경기도,성남시 수정구,여,60,15861,0.137
경기도,성남시 수정구,여,70,8980,0.077
경기도,성남시 수정구,여,80,4582,0.039
경기도,성남시 수정구,여,전체,116047,1
경기도,성남시 수정구,전체,0,16074,0.068
경기도,성남시 수정구,전체,10,17859,0.076
경기도,성남시 수정구,전체,20,33877,0.144
경기도,성남시 수정구,전체,30,35101,0.15
경기도,성남시 수정구,전체,40,37301,0.159
경기도,성남시 수정구,전체,50,40454,0.172
경기도,성남시 수정구,전체,60,30747,0.131
경기도,성남시 수정구,전체,70,16367,0.07
경기도,성남시 수정구,전체,80,6898,0.029
경기도,성남시 수정구,전체,전체,234678,1
경기도,성남시 중원구,남,0,7373,0.066
경기도,성남시 중원구,남,10,9157,0.082
경기도,성남시 중원구,남,20,16486,0.148
경기도,성남시 중원구,남,30,17130,0.154
경기도,성남시 중원구,남,40,18153,0.163
경기도,성남시 중원구,남,50,19990,0.179
경기도,성남시 중원구,남,60,14368,0.129
경기도,성남시 중원구,남,70,6719,0.06
경기도,성남시 중원구,남,80,2068,0.019
경기도,성남시 중원구,남,전체,111444,1
경기도,성남시 중원구,여,0,6873,0.063
경기도,성남시 중원구,여,10,8672,0.08
경기도,성남시 중원구,여,20,15042,0.139
경기도,성남시 중원구,여,30,14984,0.138
경기도,성남시 중원구,여,40,16258,0.15
경기도,성남시 중원구,여,50,19844,0.183
경기도,성남시 중원구,여,60,14574,0.134
경기도,성남시 중원구,여,70,8065,0.074
경기도,성남시 중원구,여,80,4285,0.039
경기도,성남시 중원구,여,전체,108597,1
경기도,성남시 중원구,전체,0,14246,0.065
경기도,성남시 중원구,전체,10,17829,0.081
경기도,성남시 중원구,전체,20,31528,0.143
경기도,성남시 중원구,전체,30,32114,0.146
경기도,성남시 중원구,전체,40,34411,0.156
경기도,성남시 중원구,전체,50,39834,0.181
경기도,성남시 중원구,전체,60,28942,0.132
경기도,성남시 중원구,전체,70,14784,0.067
